brand,model,category
Oracle,Storage Drive Enclosure DE3-24C,Storage
Oracle,Storage Drive Enclosure DE3-24P,Storage
Oracle,StorageTek 4 Gb Fibre Channel PCI-X 2.0 HBA,Network
Oracle,StorageTek 4 Gb Fibre Channel PCI-X HBA,Network
Oracle,StorageTek 8 Gb Fibre Channel PCIe HBA,Network
Oracle,StorageTek Dual 8 Gb Fibre Channel Dual GbE ExpressModule HBA,Network
Oracle,StorageTek LTO Ultrium 5 Data Cartridge,Storage
Oracle,StorageTek LTO Ultrium 6 Data Cartridge,Storage
Oracle,StorageTek LTO Ultrium 7 Data Cartridge,Storage
Oracle,StorageTek LTO Ultrium Universal Cleaning Cartridge,Storage
Oracle,StorageTek LTO6 Tape Drive,Storage
Oracle,StorageTek LTO7 Tape Drive,Storage
Oracle,StorageTek SL150 Modular Tape Library,Storage
Oracle,StorageTek SL150 Modular Tape Library Base Module,Storage
Oracle,StorageTek SL150 Modular Tape Library Large Configuration,Storage
Oracle,StorageTek SL150 Modular Tape Library Medium Configuration,Storage
Oracle,StorageTek SL3000 Modular Library System,Storage
Oracle,StorageTek SL3000 Modular Library System Base System,Storage
Oracle,StorageTek SL3000 Modular Library System Large Configuration,Storage
Oracle,StorageTek SL8500 Modular Library System,Storage
Oracle,StorageTek SL8500 Modular Library System Base Config.,Storage
Oracle,StorageTek SL8500 Modular Library System Complex Config. ,Storage
Oracle,StorageTek T1000 Tape Cartridge,Storage
Oracle,StorageTek T10000 Data Cartridges,Storage
Oracle,StorageTek T10000 T2 Tape Cartridge,Storage
Oracle,StorageTek T10000A Tape Drive ,Storage
Oracle,StorageTek T10000B Tape Drive,Storage
Oracle,StorageTek T10000C Tape Drive ,Storage
Oracle,StorageTek T10000D Tape Drive,Storage
Oracle,StorageTek Ultra320 PCIe SCSI HBA,Network
Oracle,StorageTek Ultra320 PCI-X Dual Port SCSI HBA,Network
Oracle,StorageTek Ultra320 PCI-X SCSI HBA,Network
Oracle,Sun Blade 100,Servers
Oracle,Sun Blade 1000,Servers
Oracle,Sun Blade 150,Servers
Oracle,Sun Blade 1500,Servers
Oracle,Sun Blade 2000,Servers
Oracle,Sun Blade 2500,Servers
Oracle,Sun Blade 6000 Modular Systems,Servers
Oracle,Sun Blade T6300/T6320,Servers
Oracle,Sun Blade T6340,Servers
Oracle,Sun Blade X6220/X6240,Servers
Oracle,Sun Blade X6250,Servers
Oracle,Sun Blade X6270,Servers
Oracle,Sun Blade X6270 M2,Servers
Oracle,Sun Blade X6275 M2,Servers
Oracle,Sun Data Center InfiniBand Switch 36,Network
Oracle,Sun Dual Part 10GBase-T ExpressModule,Network
Oracle,Sun Dual Port 10 GbE PCIe 2.0 EM,Network
Oracle,Sun Dual Port 10 GbE PCIe 2.0 FEM,Network
Oracle,Sun Dual Port 10 GbE PCle 2.0 Networking Cards with Intel 82599 10 GbE Controller,Network
Oracle,Sun Dual Port 10GBase-T Adapter,Network
Oracle,"Sun Dual Port GbE PCIe 2.0 Low Profile Adapter, MMF ",Network
Oracle,Sun Enterprise 10000,Servers
Oracle,Sun Enterprise 220R/420R,Servers
