,model,retail_price,partner_price,category,brand
954,MDS 9200 SME LICENSE FOR MDS- (EMC OEM Products),"$15,900","$13,515",Storage,EMC
955,SME LIC FOR EXPANSION SLOT IN MDS-9222I (EMC OEM Products),"$15,900","$13,515",Storage,EMC
956,SME LICENSE (1 ENGINE) FOR TH (EMC OEM Products),"$17,900","$15,215",Storage,EMC
957,SME LICENSE (1 ENGINE) FOR TH (EMC OEM Products),"$17,900","$15,215",Storage,EMC
958,DIRECTOR SME LICENSE FOR MDS-PBFI-1804 (EMC OEM Products),"$15,900","$13,515",Storage,EMC
959,SME LIC (1 ENGINE) FOR T (EMC OEM Products),"$17,900","$15,215",Storage,EMC
960,SME LIC (1 ENGINE) FOR T (EMC OEM Products),"$17,900","$15,215",Storage,EMC
961,MDS 16P STORAGE SERVICES NO OPTICS,"$64,600","$42,636",Storage,EMC
962,MDS 16P STORAGE SERVICES NO OPTICS UPG,"$83,980","$55,427",Storage,EMC
963,Supervisor2 Card UPG,"$48,250","$31,845",Storage,EMC
964,1-Gb Ethernet 2-Gb FC Tri-mode Longwave,"$1,700","$1,122",Storage,EMC
965,1-Gb Ethernet 2-Gb FC Tri-mode Shortwave,$300,$198,Storage,EMC
966,10G BASE COPPER ACTIVE TWINAX CABLE; 10M,$510,$337,Storage,EMC
967,10G BASE COPPER PASSIVE TWINAX CABLE; 1M,$185,$122,Storage,EMC
968,"10G BASE COPPER PASSIVE TWINAX CABLE, 3M",$265,$175,Storage,EMC
969,10G BASE COPPER PASSIVE TWINAX CABLE; 5M,$325,$215,Storage,EMC
970,"10G BASE COPPER ACTIVE TWINAX CABLE, 7M",$450,$297,Storage,EMC
971,MP-7500B FCIP IPSEC & HW COMPRESSION LIC (EMC OEM Products),"$14,500","$12,325",Storage,EMC
972,MP-7500B FCIP IPSEC & HW COMPRESSION LIC (EMC OEM Products),"$14,500","$12,325",Storage,EMC
973,MP-7500B FABRIC WATCH LICENSE (EMC OEM Products),"$3,900","$3,315",Storage,EMC
974,MP-7500B FABRIC WATCH LICENSE (EMC OEM Products),"$3,900","$3,315",Storage,EMC
975,MP-7500B PERFORMANCE MONITOR LICENSE (EMC OEM Products),"$4,400","$3,740",Storage,EMC
976,MP-7500B PERFORMANCE MONITOR LICENSE (EMC OEM Products),"$4,400","$3,740",Storage,EMC
977,MP-7500B ISL TRUNKING LICENSE (EMC OEM Products),"$5,500","$4,675",Storage,EMC
978,MP-7500B ISL TRUNKING LICENSE (EMC OEM Products),"$5,500","$4,675",Storage,EMC
979,MP-7500 FICON CUP (EMC OEM Products),"$7,055","$5,997",Storage,EMC
980,MP-7800B BASE 4P FC 2P 1GBE MP SWITCH (EMC OEM Products),"$13,900","$11,815",Storage,EMC
981,MP-7800B ADVANCED EXTENSION LICENSE (EMC OEM Products),"$9,505","$8,079",Storage,EMC
982,MP-7800B ADVANCED EXTENSION LICENSE (EMC OEM Products),"$9,505","$8,079",Storage,EMC
983,MP-7800B ADAPTIVE NETWORKING LICENSE (EMC OEM Products),"$4,215","$3,583",Storage,EMC
984,MP-7800B ADAPTIVE NETWORKING LICENSE (EMC OEM Products),"$4,215","$3,583",Storage,EMC
985,MP-7800B ENTERPRISE SW BUNDLE (EMC OEM Products),"$11,565","$9,830",Storage,EMC
986,MP-7800B ENTERPRISE SW BUNDLE (EMC OEM Products),"$11,565","$9,830",Storage,EMC
987,MP-7800B ENTERPRISE UPG W/12 8GB FC SFPS (EMC OEM Products),"$44,700","$37,995",Storage,EMC
988,MP-7800B FICON CUP LICENSE (EMC OEM Products),"$5,195","$4,416",Storage,EMC
989,MP-7800B FICON CUP LICENSE (EMC OEM Products),"$5,195","$4,416",Storage,EMC
990,MP-7800B TRUNKING LICENSE (EMC OEM Products),"$4,215","$3,583",Storage,EMC
991,MP-7800B TRUNKING LICENSE (EMC OEM Products),"$4,215","$3,583",Storage,EMC
992,MP-7800B EXTENDED FABRIC LICENSE (EMC OEM Products),"$2,845","$2,418",Storage,EMC
993,MP-7800B EXTENDED FABRIC LICENSE (EMC OEM Products),"$2,845","$2,418",Storage,EMC
994,MP-7840B Base 24P FC 2P 1GbE MP Switch (EMC OEM Products),"$88,650","$75,353",Storage,EMC
995,MP-7840B Intergrated Routing Lic=MA (EMC OEM Products),"$17,700","$15,045",Storage,EMC
996,MP-7840B Intergrated Routing Lic=MA (EMC OEM Products),"$17,700","$15,045",Storage,EMC
997,MP-7840B Wan Upgrade1 Lic=MA (EMC OEM Products),"$36,580","$31,093",Storage,EMC
998,MP-7840B Wan Upgrade1 Lic=MA (EMC OEM Products),"$36,580","$31,093",Storage,EMC
999,MP-7840B Wan Upgrade2 Lic=MA (EMC OEM Products),"$59,030","$50,176",Storage,EMC
1000,MP-7840B Wan Upgrade2 Lic=MA (EMC OEM Products),"$59,030","$50,176",Storage,EMC
1001,MP-8000B FABRIC WATCH LICENSE (EMC OEM Products),"$4,100","$3,485",Storage,EMC
1002,MP-8000B FABRIC WATCH LICENSE (EMC OEM Products),"$4,100","$3,485",Storage,EMC
1003,MP-8000B PERFORMANCE MONITOR LICENSE (EMC OEM Products),"$4,500","$3,825",Storage,EMC
1004,MP-8000B PERFORMANCE MONITOR LICENSE (EMC OEM Products),"$4,500","$3,825",Storage,EMC
1005,MP-8000B TRUNKING LICENSE (EMC OEM Products),"$5,700","$4,845",Storage,EMC
1006,MP-8000B TRUNKING LICENSE (EMC OEM Products),"$5,700","$4,845",Storage,EMC
1007,ED-DCX-B 24P FCOE BLADE,"$105,100","$69,366",Storage,EMC
1008,ED-DCX-B 24P FCOE BLADE UPGRADE,"$139,375","$91,988",Storage,EMC
1009,DCX PORT BLADE 32P 32 16G SFPS,"$82,600","$54,516",Storage,EMC
1010,DCX 16G PORT BLADE 32P 0 SFPS,"$64,100","$42,306",Storage,EMC
1011,DCX 16G PORT BLADE 32P 0 SFPS UPG,"$83,330","$54,998",Storage,EMC
1012,DCX UPGRADE PORT BLADE 32P 32 16G SFPS,"$109,590","$72,329",Storage,EMC
1013,DCX PORT BLADE 48P 48 16G SFPS,"$115,800","$76,428",Storage,EMC
1014,DCX 16G PORT BLADE 48P 0 SFPS,"$89,200","$58,872",Storage,EMC
1015,DCX 16G PORT BLADE 48P 0 SFPS UPG,"$115,960","$76,534",Storage,EMC
1016,DCX UPGRADE PORT BLADE 48P 48 16G SFPS,"$153,530","$101,330",Storage,EMC
1017,DCX8510 16G 64P PORT BLADE 16-QSFPS,"$153,300","$101,178",Storage,EMC
1018,DCX8510 16G 64P UPG PORT BLADE 16-QSFPS,"$199,290","$131,531",Storage,EMC
1019,ED-DCX-B FX8-24 FCIP BLADE,"$109,660","$72,376",Storage,EMC
1020,ED-DCX-B FX8-24 FCIP BLADE UPGRADE,"$142,000","$93,720",Storage,EMC
1021,DS-4700M ELEMENT MANAGER (EMC OEM Products),"$4,950","$4,208",Storage,EMC
1022,PRODUCT MGR SW FOR DS-16M (EMC OEM Products),"$2,900","$2,465",Storage,EMC
1023,PRODUCT MGR SW FOR DS32M (EMC OEM Products),"$3,400","$2,890",Storage,EMC
1024,DCX EU CEE7/7 PWR CRD KIT - 2PER,$400,$264,Storage,EMC
1025,DCX NORTHAM 250V PWR CRD KIT - 2PER,$400,$264,Storage,EMC
1026,DCX NORTHAM 110V PWR CRD KIT - 2PER,$400,$264,Storage,EMC
1027,DCX NON-EU 230V PWR CRD KIT - 2PER,$400,$264,Storage,EMC
1028,CONNECTRIX ETHERNET HUB,"$1,300",$858,Storage,EMC
1029,FICON CUP-ED-48000B (EMC OEM Products),"$29,400","$24,990",Storage,EMC
1030,FICON CUP-ED-48000B (EMC OEM Products),"$29,400","$24,990",Storage,EMC
1031,ENT SW BNDL FOR ED-48000B (EMC OEM Products),"$45,200","$38,420",Storage,EMC
1032,ENT SW BNDL FOR ED-48000B (EMC OEM Products),"$45,200","$38,420",Storage,EMC
1033,FAB WATCH FOR ED-48000B (EMC OEM Products),"$24,400","$20,740",Storage,EMC
1034,FAB WATCH FOR ED-48000B (EMC OEM Products),"$24,400","$20,740",Storage,EMC
1035,FCIP LICENSE FOR THE 18I BLADE (EMC OEM Products),"$24,400","$20,740",Storage,EMC
1036,FCIP LICENSE FOR THE 18I BLADE (EMC OEM Products),"$24,400","$20,740",Storage,EMC
1037,PERF MONITOR ED-48000B (EMC OEM Products),"$27,100","$23,035",Storage,EMC
1038,PERF MONITOR ED-48000B (EMC OEM Products),"$27,100","$23,035",Storage,EMC
1039,TRUNKING FOR ED-48000B (EMC OEM Products),"$33,900","$28,815",Storage,EMC
1040,TRUNKING FOR ED-48000B (EMC OEM Products),"$33,900","$28,815",Storage,EMC
1041,EXT FABRIC FOR ED-48000B (EMC OEM Products),"$27,100","$23,035",Storage,EMC
1042,VDX-6740 FCoE Lic=MA (EMC OEM Products),"$12,000","$10,200",Storage,EMC
1043,VDX-6740 27-31 Rack Mount Kit (EMC OEM Products),$175,$149,Storage,EMC
1044,VDX SFP 10GbE SR OPTIC 1 PACK (EMC OEM Products),$750,$638,Storage,EMC
1045,VDX SFP 10GbE SR OPTIC 8 PACK (EMC OEM Products),"$3,400","$2,890",Storage,EMC
1046,OPTION DD 10GBASE T IO MODULE 4PORT,"$5,000","$3,700",Storage,EMC
1047,OPTION DD 10GBASE T IO MODULE 4PORT,"$5,000","$3,700",Storage,EMC
1048,"OPTION,DD 10GBE,IO MODULE,CU SFP,2PORT","$5,000","$3,700",Storage,EMC
1049,"OPTION,DD 10GBE,IO MODULE,CU SFP,2PORT","$5,000","$3,700",Storage,EMC
1050,DD 10GBE IO MOD CU TWINAX 4PORT OPTION,"$6,000","$4,440",Storage,EMC
1051,DD 10GBE IO MOD CU TWINAX 4PORT OPTION,"$6,000","$4,440",Storage,EMC
1052,"OPTION,DD 10GBE,IO MODULE,OP SFP,2PORT","$5,000","$3,700",Storage,EMC
1053,"OPTION,DD 10GBE,IO MODULE,OP SFP,2PORT","$5,000","$3,700",Storage,EMC
1054,DD 10GBE IO MOD OPTICAL SFP 4PORT OPTION,"$6,000","$4,440",Storage,EMC
1055,DD 10GBE IO MOD OPTICAL SFP 4PORT OPTION,"$6,000","$4,440",Storage,EMC
1056,OPTION;NIC;10GBE;SP;PCIE;SFPP;DP;COP,"$5,000","$3,700",Storage,EMC
1057,OPTION;NIC;10GBE;SP;PCIE;SFPP;LC;DP;OPT,"$5,000","$3,700",Storage,EMC
1058,DD 16GBIT FC IO MOD LC 2PORT OPTION,"$6,000","$4,440",Storage,EMC
1059,DD 16GBIT FC IO MOD LC 2PORT OPTION,"$6,000","$4,440",Storage,EMC
1060,OPTION;NIC;GBE;LP;PCIE;TX;2-PORT;COPPER,$900,$666,Storage,EMC
1061,OPTION;NIC;GBE;LP;PCIE;FX;2-PORT;FIBOPT,"$3,700","$2,738",Storage,EMC
1062,OPTION;NIC;GBE;LP;PCIE;TX;4-PORT;COP,"$2,500","$1,850",Storage,EMC
1063,"OPTION,DD 1GBE,IO MODULE,CU,4PORT","$2,500","$1,850",Storage,EMC
1064,"OPTION,DD 1GBE,IO MODULE,CU,4PORT","$2,500","$1,850",Storage,EMC
1065,"OPTION,DD 1GBE,IO MODULE,2P CU,2P OP","$3,700","$2,738",Storage,EMC
1066,"OPTION,DD 1GBE,IO MODULE,2P CU,2P OP","$3,700","$2,738",Storage,EMC
1067,OPTION; NIC;GBE;PCIE;FX;2-PORT;FIBER OPT,"$3,700","$2,738",Storage,EMC
1068,OPTION;NIC;GBE;SP;PCIE;TX;4-PORT;COP,"$2,500","$1,850",Storage,EMC
1069,OPTION CAP EXP KIT MORETHAN 14TB DD2200,"$1,500","$1,275",Storage,EMC
1070,"OPTION,DD2500 ADD ES EXP KIT,DUAL PATH","$3,750","$2,775",Storage,EMC
1071,"OPTION,MEMKIT,DD2500,MORE THAN 66TB","$6,000","$4,440",Storage,EMC
1072,OPTION HBA 4GBIT FC PCIE 2-PORT,"$4,500","$3,330",Storage,EMC
1073,OPTION;DD690 EXPKIT;33TO48TB;2P;MULTPATH,"$10,000","$7,400",Storage,EMC
1074,OPTION;FC HBA;8GBIT;PCIE;2 PORT,"$4,500","$3,330",Storage,EMC
1075,"OPTION,DD 8GBIT FC,IO MODULE,LC,2PORT","$4,500","$3,330",Storage,EMC
1076,"OPTION,DD 8GBIT FC,IO MODULE,LC,2PORT","$4,500","$3,330",Storage,EMC
1077,MEMKIT ADD 256GB DD9500 16X16GB OPTION,"$30,000","$22,200",Storage,EMC
1078,OPTION;MEMKIT;DD990;MORE THAN 360TB,"$22,000","$16,280",Storage,EMC
1079,OPTION;ADD 6 TO 12 ES30;8X2M CBLKIT,"$1,100",$814,Storage,EMC
1080,OPT ADD9TO16ES30 2X2M 2X3M CBLKT FLD INS,$600,$444,Storage,EMC
1081,"OPTION,ADD 9TO16 ES30 SAS,CABLE KIT",$600,$444,Storage,EMC
1082,"OPTION,ADD 9TO16 ES30 SAS,CABLE KIT",$600,$444,Storage,EMC
1083,OPT ADD 17TO24 ES30 4X3M CBLKIT FLD INS,$600,$444,Storage,EMC
1084,"OPTION,ADD 17TO24 ES30 SAS CABLE KIT",$600,$444,Storage,EMC
1085,"OPTION,ADD 17TO24 ES30 SAS CABLE KIT",$600,$444,Storage,EMC
1086,OPTION;ADD 1 TO 6 ES30;4X2M CBLKIT,$600,$444,Storage,EMC
1087,OPTION ADD 1TO8 ES30 SAS CABLE KIT,$600,$444,Storage,EMC
1088,OPT DS60 SHELF 45X3TB SAS HDD,"$171,423","$126,853",Storage,EMC
1089,OPT DS60 SHELF 45X3TB SAS HDD,"$171,423","$126,853",Storage,EMC
1090,OPT DS60 SHELF 45X3TB SAS HDD RETN,"$171,423","$126,853",Storage,EMC
1091,OPT DS60 SHELF 45X3TB SAS HDD RETN,"$171,423","$126,853",Storage,EMC
1092,OPT DS60 SHELF 60X3TB SAS HDD,"$223,230","$165,190",Storage,EMC
1093,OPT DS60 SHELF 60X3TB SAS HDD,"$223,230","$165,190",Storage,EMC
1094,OPT DS60 SHELF 30X4TB SAS HDD,"$149,615","$110,715",Storage,EMC
1095,OPT DS60 SHELF 30X4TB SAS HDD,"$149,615","$110,715",Storage,EMC
1096,OPT DS60 SHELF 30X4TB SAS HDD RETN,"$149,615","$110,715",Storage,EMC
1097,OPT DS60 SHELF 30X4TB SAS HDD RETN,"$149,615","$110,715",Storage,EMC
1098,OPT DS60 SHELF 45X4TB SAS HDD,"$216,541","$160,240",Storage,EMC
1099,OPT DS60 SHELF 45X4TB SAS HDD,"$216,541","$160,240",Storage,EMC
1100,OPT DS60 SHELF 45X4TB SAS HDD RETN,"$216,541","$160,240",Storage,EMC
1101,OPT DS60 SHELF 45X4TB SAS HDD RETN,"$216,541","$160,240",Storage,EMC
1102,OPT DS60 SHELF 15X4TB SAS HDD,"$82,690","$61,191",Storage,EMC
1103,OPT DS60 SHELF 15X4TB SAS HDD,"$82,690","$61,191",Storage,EMC
1104,OPT DS60 SHELF 15X4TB SAS HDD RETN,"$82,690","$61,191",Storage,EMC
1105,OPT DS60 SHELF 15X4TB SAS HDD RETN,"$82,690","$61,191",Storage,EMC
1106,OPTION;ES20;8TB SHELF;SINGLECTRL; REFURB,"$32,000","$23,680",Storage,EMC
1107,OPTION;ES30 SHELF;15X1TB HDD;2XLCC,"$26,250","$19,425",Storage,EMC
1108,OPTION;ES30 SHELF;15X1T SATA HDD;EXTDRET,"$25,500","$18,870",Storage,EMC
1109,OPTION;ES30 SHELF;15X2TB HDD;2XLCC,"$36,400","$26,936",Storage,EMC
1110,OPTION;ES30 SHELF;15X2T SATA HDD;EXTDRET,"$36,400","$26,936",Storage,EMC
1111,"OPTION,ES30 SHELF,15X2TB SAS HDD","$36,400","$26,936",Storage,EMC
1112,"OPTION,ES30 SHELF,15X2TB SAS HDD","$36,400","$26,936",Storage,EMC
1113,"OPTION,ES30 SHELF,15X2TB SAS HDD,RETN","$36,400","$26,936",Storage,EMC
1114,OPTION;ES30 SHELF;15X3TB SATA HDD,"$53,150","$39,331",Storage,EMC
1115,OPTION;ES30 SHELF;15X3TB SATA HDD;RETN,"$53,150","$39,331",Storage,EMC
1116,"OPTION,ES30 SHELF,15X3TB SAS HDD","$53,150","$39,331",Storage,EMC
1117,"OPTION,ES30 SHELF,15X3TB SAS HDD","$53,150","$39,331",Storage,EMC
1118,"OPTION,ES30 SHELF,15X3TB SAS HDD,RETN","$53,150","$39,331",Storage,EMC
1119,"OPTION,ES30 SHELF,15X3TB SAS HDD,RETN","$53,150","$39,331",Storage,EMC
1120,OPTION ES30 SHELF 15X4TB SAS HDD,"$67,323","$49,819",Storage,EMC
1121,OPTION ES30 SHELF 15X4TB SAS HDD,"$67,323","$49,819",Storage,EMC
1122,OPTION ES30 SHELF 15X4TB SAS HDD RETN,"$67,323","$49,819",Storage,EMC
1123,OPTION ES30 SHELF 15X4TB SAS HDD RETN,"$67,323","$49,819",Storage,EMC
1124,OPTION;ARCHIVER;1X QUAD SAS HBA,"$4,500","$3,330",Storage,EMC
1125,OPTION;EXTENDED RETENTION;1X SAS HBA,"$3,200","$2,368",Storage,EMC
1126,"OPTION,DD 6G SAS,EXTD RETN,IO MOD,4PORT","$4,500","$3,330",Storage,EMC
1127,DD 6GBIT SAS IO MOD 4PORT ER OPTION,"$5,000","$3,700",Storage,EMC
1128,DD 6GBIT SAS IO MOD 4PORT ER OPTION,"$5,000","$3,700",Storage,EMC
1129,SYSTEM DD2200-7X2TB SAS 14TB NFS CIFS,"$9,050","$7,693",Storage,EMC
1130,SYSTEM DD2200-12X2HDD SAS 24TB NFS CIFS,"$16,300","$13,855",Storage,EMC
1131,"SYSTEM,DD2200-7X2,4TB,NFS,CIFS","$5,250","$4,463",Storage,EMC
1132,"SYSTEM,DD2500+1ES30 SAS,66TB,NFS,CIFS","$65,350","$48,359",Storage,EMC
1133,"SYSTEM,DD2500+1ES45 SAS,81TB,NFS,CIFS","$71,450","$52,873",Storage,EMC
1134,"SYSTEM,DD2500-7X3TB SAS,21TB,NFS,CIFS","$28,500","$21,090",Storage,EMC
1135,"SYSTEM,DD2500+2ES30 SAS,96TB,NFS,CIFS","$78,450","$58,053",Storage,EMC
1136,"SYSTEM,DD2500+2ES45 SAS,126TB,NFS,CIFS","$90,600","$67,044",Storage,EMC
1137,"SYSTEM,DD2500-12X3HDD SAS,36TB,NFS,CIFS","$52,250","$38,665",Storage,EMC
1138,"SYSTEM,DD2500+3ES30 SAS,126TB,NFS,CIFS","$91,550","$67,747",Storage,EMC
1139,"SYSTEM,DD2500+3ES45 SAS,171TB,NFS,CIFS","$109,750","$81,215",Storage,EMC
1140,"SYSTEM,DD2500+4ES30 SAS,156TB,NFS,CIFS","$104,650","$77,441",Storage,EMC
1141,SYSTEM; DD410; NFS; CIFS (OBS),"$19,000","$14,060",Storage,EMC
1142,"SYSTEM,DD4200+1ES30,2TB SAS HDD,NFS,CIFS","$44,550","$32,967",Storage,EMC
1143,"SYSTEM,DD4200+1ES30,3TB SAS HDD,NFS,CIFS","$60,900","$45,066",Storage,EMC
1144,"SYSTEM,DD4200+2ES30,2TB SAS HDD,NFS,CIFS","$80,550","$59,607",Storage,EMC
1145,"SYSTEM,DD4200+2ES30,3TB SAS HDD,NFS,CIFS","$114,050","$84,397",Storage,EMC
1146,SYSTEM; DD690 CTRL+1ES16T;16TB;NFS;CIFS,"$181,000","$133,940",Storage,EMC
1147,SYSTEM; DD690 CTRL+2ES16T;32TB;NFS;CIFS,"$232,000","$171,680",Storage,EMC
1148,SYSTEM; DD690 CTRL+2ES8T;16TB;NFS;CIFS,"$200,000","$148,000",Storage,EMC
1149,SYSTEM; DD690 CTRL+3ES8T;24TB;NFS;CIFS,"$235,000","$173,900",Storage,EMC
1150,SYSTEM; DD690 CTRL+4ES8T;32TB;NFS;CIFS,"$270,000","$199,800",Storage,EMC
1151,SYSTEM; DD690 CTRL; NFS; CIFS - REFURB,"$130,000","$96,200",Storage,EMC
1152,"SYSTEM,DD7200,CTL,ENTRY MEM,NFS,CIFS","$234,000","$173,160",Storage,EMC
1153,"SYSTEM,DD7200,CTL,EXP MEM,NFS,CIFS","$255,450","$189,033",Storage,EMC
1154,RACK DATA DOMAIN 40U SNGL PHASE;RK-BEZEL,"$4,200","$3,108",Storage,EMC
1155,RACK DATA DOMAIN 40U SNGL PHASE;DOOR,"$4,200","$3,108",Storage,EMC
1156,RACK DATA DOMAIN 40U 3P DELTA,"$4,200","$3,108",Storage,EMC
1157,RACK DATA DOMAIN 40U 3P DELTA;RK-BEZEL,"$4,200","$3,108",Storage,EMC
1158,RACK DATA DOMAIN 40U 3P DELTA;DOOR,"$4,200","$3,108",Storage,EMC
1159,RACK DATA DOMAIN 40U 3P DELTA,"$4,200","$3,108",Storage,EMC
1160,RACK DATA DOMAIN 40U 3P WYE,"$4,200","$3,108",Storage,EMC
1161,RACK DATA DOMAIN 40U 3P WYE;RK-BEZEL,"$4,200","$3,108",Storage,EMC
1162,RACK DATA DOMAIN 40U 3P WYE;DOOR,"$4,200","$3,108",Storage,EMC
1163,RACK DATA DOMAIN 40U 3P WYE,"$4,200","$3,108",Storage,EMC
1164,RACK; DATA DOMAIN;40U,"$4,200","$3,108",Storage,EMC
1165,RACK DATA DOMAIN 40U SINGLE PHASE,"$4,200","$3,108",Storage,EMC
1166,RACK DATA DOMAIN 40U SINGLE PHASE,"$4,200","$3,108",Storage,EMC
1167,"RACK, DATA DOMAIN,40U","$4,200","$3,108",Storage,EMC
1168,LICENSE BOOST DD2200=IA,"$1,500","$1,275",Storage,EMC
1169,"LICENSE,BOOST,DD2500","$4,000","$2,960",Storage,EMC
1170,"LICENSE,BOOST,DD4200","$9,000","$6,660",Storage,EMC
1171,"LICENSE,BOOST,DD4500","$19,000","$14,060",Storage,EMC
1172,LICENSE; BOOST; DD620,"$1,500","$1,110",Storage,EMC
1173,LICENSE; BOOST; DD690,"$22,500","$16,650",Storage,EMC
1174,"LICENSE,BOOST,DD7200","$38,000","$28,120",Storage,EMC
1175,LICENSE; BOOST; DD880,"$45,000","$33,300",Storage,EMC
1176,LIC BOOST DD9500=IA,"$45,000","$33,300",Storage,EMC
1177,LICENSE;BOOST;DD990,"$45,000","$33,300",Storage,EMC
1178,LICENSE; BOOST; DD880;CTL2,"$22,500","$16,650",Storage,EMC
1179,LICENSE; BOOST; DD890;CTL2,"$22,500","$16,650",Storage,EMC
1180,LICENSE DD OE PER TB CAPACITY ER=CB,$785,$581,Storage,EMC
1181,LICENSE DD OE PER TB CAPACITY ER=CB,$785,$581,Storage,EMC
1182,LICENSE BASE DD OE DD2200-14=IA,"$6,700","$5,695",Storage,EMC
1183,LICENSE BASE DD OE DD2200-24=IA,"$12,200","$10,370",Storage,EMC
1184,LICENSE BASE DD OE DD2200-4=IA,"$3,600","$3,060",Storage,EMC
1185,LICENSE BASE DD OE DD2500-21=IA,"$15,000","$11,100",Storage,EMC
1186,LICENSE BASE DD OE DD2500-36=IA,"$15,000","$11,100",Storage,EMC
1187,LICENSE BASE DD OE DD4200=IA,"$15,000","$11,100",Storage,EMC
1188,LICENSE BASE DD OE DD4500=IA,"$15,000","$11,100",Storage,EMC
1189,LICENSE BASE DD OE DD7200=IA,"$20,000","$14,800",Storage,EMC
1190,LICENSE BASE DD OE DD9500=IA,"$20,000","$14,800",Storage,EMC
1191,LICENSE BASE DD OE DD990=IA,"$20,000","$14,800",Storage,EMC
1192,LICENSE DD OE PER TB HI CAPACITY ACT=CB,"$1,450","$1,073",Storage,EMC
1193,LICENSE DD OE PER TB HI CAPACITY ACT=CB,"$1,450","$1,073",Storage,EMC
1194,LICENSE DD OE PER TB MID CAPACITY ACT=CB,"$1,450","$1,073",Storage,EMC
1195,LICENSE DD OE PER TB MID CAPACITY ACT=CB,"$1,450","$1,073",Storage,EMC
1196,LICENSE DLM8100 DEDUPE STORAGE =IA,"$50,000","$37,000",Storage,EMC
1197,LICENSE;DEDUPE STORAGE FOR DLM;DD880,"$50,000","$37,000",Storage,EMC
1198,LICENSE; GLOBAL DEDUP; DD880;CTRL 1,"$75,000","$55,500",Storage,EMC
1199,LICENSE;GLOBAL DEDUP;DD890;CTL1,"$75,000","$55,500",Storage,EMC
1200,LICENSE; GLOBAL DEDUP; DD880;CTRL 2,"$75,000","$55,500",Storage,EMC
1201,LICENSE;GLOBAL DEDUP;DD890;CTL2,"$75,000","$55,500",Storage,EMC
1202,LICENSE REPLICATOR DD2200=IA,"$2,540","$2,159",Storage,EMC
1203,"LICENSE,REPLICATOR,DD2500","$5,000","$3,700",Storage,EMC
1204,"LICENSE,REPLICATOR,DD4200","$10,000","$7,400",Storage,EMC
1205,"LICENSE,REPLICATOR,DD4500","$30,000","$22,200",Storage,EMC
1206,LICENSE; REPLICATOR; DD620,"$2,540","$1,880",Storage,EMC
1207,LICENSE; REPLICATOR; DD690,"$35,000","$25,900",Storage,EMC
1208,"LICENSE,REPLICATOR,DD7200","$60,000","$44,400",Storage,EMC
1209,LICENSE; REPLICATOR; DD880,"$70,000","$51,800",Storage,EMC
1210,LIC REPLICATOR DD9500=IA,"$70,000","$51,800",Storage,EMC
1211,LICENSE;REPLICATOR;DD990,"$70,000","$51,800",Storage,EMC
1212,LICENSE; REPLICATOR; DD880;CTRL 2,"$70,000","$51,800",Storage,EMC
1213,LICENSE;REPLICATOR;DD890;CTL2,"$70,000","$51,800",Storage,EMC
1214,LIC;RETENTION LOCK GOV EDITION;DD620,"$1,500","$1,110",Storage,EMC
1215,LICENSE; RETENTION LOCK; DD690,"$24,000","$17,760",Storage,EMC
1216,LICENSE; RETENTION LOCK; DD880,"$55,000","$40,700",Storage,EMC
1217,LIC;RETENTION LOCK GOV EDITION;DD990,"$45,000","$33,300",Storage,EMC
1218,LICENSE RETENTION LOCK COMPL DD2200=IA,"$1,500","$1,275",Storage,EMC
1219,"LICENSE,RETENTION LOCK COMPLIANCE,DD2500","$4,000","$2,960",Storage,EMC
1220,"LICENSE,RETENTION LOCK COMPLIANCE,DD4200","$7,000","$5,180",Storage,EMC
1221,"LICENSE,RETENTION LOCK COMPLIANCE,DD4500","$20,400","$15,096",Storage,EMC
1222,LIC;RETENTION LOCK COMPL EDITN;DD620,"$1,500","$1,110",Storage,EMC
1223,"LICENSE,RETENTION LOCK COMPLIANCE,DD7200","$38,000","$28,120",Storage,EMC
1224,LIC RETENTION LOCK COMPLIANCE DD9500=IA,"$90,000","$66,600",Storage,EMC
1225,LIC;RETENTION LOCK COMPL EDITN;DD990,"$45,000","$33,300",Storage,EMC
1226,LICENSE RETENTION LOCK GOVERN DD2200=IA,"$1,500","$1,275",Storage,EMC
1227,"LICENSE,RETENTION LOCK GOVERANCE,DD2500","$4,000","$2,960",Storage,EMC
1228,"LICENSE,RETENTION LOCK GOVERANCE,DD4200","$7,000","$5,180",Storage,EMC
1229,"LICENSE,RETENTION LOCK GOVERANCE,DD4500","$20,400","$15,096",Storage,EMC
1230,"LICENSE,RETENTION LOCK GOVERANCE,DD7200","$38,000","$28,120",Storage,EMC
1231,LIC RETENTION LOCK GOVERANCE DD9500=IA,"$45,000","$33,300",Storage,EMC
1232,LICENSE VTL OPEN SYSTEMS DD2200=IA,"$1,500","$1,275",Storage,EMC
1233,LICENSE VTL NDMP TAPE SVR ETH DD2200=IA,"$1,500","$1,275",Storage,EMC
1234,LICENSE VTL IBM IOS DD2200=IA,"$2,250","$1,913",Storage,EMC
1235,"LICENSE,VTL,OPEN SYSTEMS,DD2500","$4,000","$2,960",Storage,EMC
1236,"LICENSE,VTL,NDMP TAPE SERVER,ETH,DD2500","$4,000","$2,960",Storage,EMC
1237,"LICENSE,VTL,IBM IOS,DD2500","$6,000","$4,440",Storage,EMC
