,model,retail_price,partner_price,category,brand
70,AVAMAR G4S M1200 STORAGE NODE MFG INST,"$24,250","$17,945",Storage,EMC
71,AVAMAR GEN4S M1200 NODE MFG INST RR,"$24,250","$17,945",Storage,EMC
72,AVAMAR G4S INTERNAL 19-CABLE BUNDLE,$200,$148,Storage,EMC
73,TELCO RAIL FOR NODES,$400,$296,Storage,EMC
74,TELCO RAIL FOR SWITCH,$300,$222,Storage,EMC
75,AVAMAR G4S M2400 STORAGE NODE FLD INST,"$45,250","$33,485",Storage,EMC
76,AVAMAR G4S M2400 STG NODE FLD INST RR,"$45,250","$33,485",Storage,EMC
77,AVAMAR G4S M2400 STORAGE NODE MFG INST,"$45,250","$33,485",Storage,EMC
78,AVAMAR GEN4S M2400 NODE MFG INST RR,"$45,250","$33,485",Storage,EMC
79,AVAMAR G4S M600 STORAGE NODE FLD INST,"$14,250","$10,545",Storage,EMC
80,AVAMAR G4S M600 STG NODE FLD INST RR,"$14,250","$10,545",Storage,EMC
81,AVAMAR G4S M600 STORAGE NODE MFG INST,"$14,250","$10,545",Storage,EMC
82,AVAMAR GEN4S M600 NODE MFG INST RR,"$14,250","$10,545",Storage,EMC
83,6 NODE LONG CABLE BNDL EXTERNAL ROUTING,$150,$111,Storage,EMC
84,6 NODE SHORT CABLE BNDL INTERNAL ROUTING,$100,$74,Storage,EMC
85,AVAMAR G4S M1200 STORAGE NODE FLD INST,"$24,250","$17,945",Storage,EMC
86,AVAMAR G4S M1200 STG NODE FLD INST RR,"$24,250","$17,945",Storage,EMC
87,AVAMAR G4S M2400 STORAGE NODE FLD INST,"$45,250","$33,485",Storage,EMC
88,AVAMAR G4S M2400 STG NODE FLD INST RR,"$45,250","$33,485",Storage,EMC
89,AVAMAR G4S M600 STORAGE NODE FLD INST,"$14,250","$10,545",Storage,EMC
90,AVAMAR G4S M600 STG NODE FLD INST RR,"$14,250","$10,545",Storage,EMC
91,AVAMAR G4S NDMP ACCEL 10GBE FLD INST,"$15,700","$11,618",Storage,EMC
92,AVAMAR G4S NDMP ACCELERATOR FLD INST,"$14,000","$10,360",Storage,EMC
93,AVAMAR G4S NDMP ACCELERATOR FLD INST RR,"$14,000","$10,360",Storage,EMC
94,Avamar Gen4S Int Comm Module (Fld Inst),"$4,000","$2,960",Storage,EMC
95,AVAMAR G4S INTERNAL COMM MODULE,"$4,000","$2,960",Storage,EMC
96,AVAMAR GEN4S INT COMM MODULE SW FLD INST,"$4,000","$2,960",Storage,EMC
97,AVAMAR GEN4S INT COMM MODULE SW FAC INST,"$4,000","$2,960",Storage,EMC
98,AVAMAR GEN4S COMM RAIL INSTALL KIT,$200,$148,Storage,EMC
99,AVAMAR G4S COM INSTALL KIT,$200,$148,Storage,EMC
100,AVAMAR G4S MEDIA ACCESS FLD INST,"$45,250","$33,485",Storage,EMC
101,AVAMAR G4S MEDIA ACCESS FLD INST RR,"$45,250","$33,485",Storage,EMC
102,AVAMAR GEN4 RACK,"$4,200","$3,108",Storage,EMC
103,AVAMAR G4S 40U TITAN RACK,"$4,200","$3,108",Storage,EMC
104,AVAMAR G4S S2400 BUSINESS EDITION,"$27,250","$23,163",Storage,EMC
105,AVAMAR G4S S2400 BUSINESS EDITION RR,"$27,250","$23,163",Storage,EMC
106,SR XFP FOR MDL-4000 10 GIG SWITCH,$969,$717,Storage,EMC
107,MDL-200F SM FICON 10 GIG IP NODE,"$109,375","$80,938",Storage,EMC
108,MDL-4000 NODE 3590 ATTACHMENT,"$10,594","$7,840",Storage,EMC
109,MDL-4000 SM FICON 10 GIG IP SYSTEM,"$268,500","$198,690",Storage,EMC
110,MDL-200F SM FICON 10 GIG IP NODE,"$109,375","$80,938",Storage,EMC
111,SR2600 SPARE CHASSIS; MDL 1000/2000,"$16,194","$11,984",Storage,EMC
