category,subcategory,name
Virtual Machines,MSFT R Server for Linux (128 core),Microsoft Azure
Virtual Machines,Standard_G3 VM (Windows),Microsoft Azure
Cloud Services,Standard_A8_v2 Cloud Services,Microsoft Azure
Cloud Services,A3 Cloud Services,Microsoft Azure
Virtual Machines,A10 VM Low Priority (Windows),Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Business Analytics,D4 HDInsight (Non-Windows),Microsoft Azure
Virtual Machines,Standard_D4_v2 VM_Promo,Microsoft Azure
Cloud Services,Standard_D64_v3 Cloud Services,Microsoft Azure
Virtual Machines,Standard_NV6 VM,Microsoft Azure
Cloud Services,Standard_A4_v2 Cloud Services,Microsoft Azure
Virtual Machines,Standard_D4 VM,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Cloud Services,Standard_D4_v2 Cloud Services,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,A10 VM,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Data Services,Cosmos DB,Microsoft Azure
Cloud Services,Standard_D5_v2 Cloud Services,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Virtual Machines,Standard_D12_v2 VM_Promo,Microsoft Azure
Virtual Machines,Standard_D14_v2 VM_Promo,Microsoft Azure
Business Analytics,A2 HDInsight,Microsoft Azure
Virtual Machines,Standard_D4 VM,Microsoft Azure
Cache,Azure Redis Cache,Microsoft Azure
Service Bus,Standard Event Hubs,Microsoft Azure
Virtual Machines,Standard_G3 VM (Windows),Microsoft Azure
Virtual Machines,Standard_D2 VM (Windows),Microsoft Azure
Virtual Machines,Standard_D8_v3 VM (Windows),Microsoft Azure
Virtual Machines,Standard_G1 VM,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Business Analytics,A4 HDInsight,Microsoft Azure
Virtual Machines,Standard_D2 VM (Windows),Microsoft Azure
Business Analytics,A11 HDInsight (Non-Windows),Microsoft Azure
Data Management,Locally Redundant,Microsoft Azure
Virtual Machines,BASIC.A4 VM,Microsoft Azure
Cloud Services,Standard_D14 Cloud Services,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Networking,Virtual Network,Microsoft Azure
Virtual Machines,Standard_A8m_v2 VM (Windows),Microsoft Azure
Cloud Services,Standard_E4_v3 Cloud Services,Microsoft Azure
Virtual Machines,A11 VM (Windows),Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_D11_v2 VM Low Priority,Microsoft Azure
Cloud Services,Standard_E64_v3 Cloud Services,Microsoft Azure
Analysis Services,Tabular,Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Virtual Machines,Standard_D13_v2 VM (Windows),Microsoft Azure
Storage,Locally Redundant,Microsoft Azure
Data Management,Geo Redundant,Microsoft Azure
Cloud Services,Standard_D15_v2 Cloud Services,Microsoft Azure
Cloud Services,A4 Cloud Services,Microsoft Azure
Virtual Machines,Standard_H16 VM (Windows),Microsoft Azure
Virtual Machines,Standard_E8_v3 VM,Microsoft Azure
Data Services,Azure Database for MySQL,Microsoft Azure
Virtual Machines,Standard_D12 VM (Windows),Microsoft Azure
CDN,,Microsoft Azure
CDN,,Microsoft Azure
CDN,,Microsoft Azure
CDN,,Microsoft Azure
CDN,,Microsoft Azure
CDN,,Microsoft Azure
CDN,,Microsoft Azure
Cloud Services,Standard_A4m_v2 Cloud Services,Microsoft Azure
Virtual Machines,Standard_L16 VM,Microsoft Azure
Azure App Service,,Microsoft Azure
Virtual Machines,Standard_D11_v2 VM,Microsoft Azure
Cloud Services,Standard_D11 Cloud Services,Microsoft Azure
Virtual Machines,Standard_D32_v3 VM (Windows),Microsoft Azure
Virtual Machines,Standard_D4_v2 VM (Windows),Microsoft Azure
Data Services,DocumentDB,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_NC24 VM (Windows),Microsoft Azure
Virtual Machines,A7 VM,Microsoft Azure
Virtual Machines,Standard_NV24 VM,Microsoft Azure
Data Management,Geo Redundant,Microsoft Azure
Virtual Machines,Standard_D4 VM,Microsoft Azure
Azure App Service,,Microsoft Azure
Cloud Services,Standard_G5 Cloud Services,Microsoft Azure
Business Analytics,A4 HDInsight,Microsoft Azure
Cloud Services,Standard_D5_v2 Cloud Services,Microsoft Azure
Cloud Services,Standard_L16 Cloud Services,Microsoft Azure
Virtual Machines,A2 VM,Microsoft Azure
Cloud Services,A6 Cloud Services,Microsoft Azure
Virtual Machines,Standard_D12 VM,Microsoft Azure
Cloud Services,A3 Cloud Services,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Networking,Basic Application Gateway (Large),Microsoft Azure
Virtual Machines,BASIC.A2 VM,Microsoft Azure
Virtual Machines,Standard_D2_v2 VM_Promo,Microsoft Azure
Virtual Machines,MSFT R Server for Linux (16 core),Microsoft Azure
Networking,Traffic Manager,Microsoft Azure
Cloud Services,Standard_D12 Cloud Services,Microsoft Azure
Virtual Machines,A1 VM,Microsoft Azure
Virtual Machines,Standard_H16mr VM (Windows),Microsoft Azure
Storage,Zone Redundant,Microsoft Azure
Storage,Zone Redundant,Microsoft Azure
Storage,Zone Redundant,Microsoft Azure
Storage,Zone Redundant,Microsoft Azure
Storage,Zone Redundant,Microsoft Azure
Storage,Zone Redundant,Microsoft Azure
Virtual Machines,Standard_D3 VM (Windows),Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Azure App Service,,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_D14 VM (Windows),Microsoft Azure
Data Management,Geo Redundant,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,A1 VM (Windows),Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_D3_v2 VM (Windows),Microsoft Azure
Virtual Machines,A4 VM (Windows),Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_D13_v2 VM_Promo (Windows),Microsoft Azure
Cloud Services,A1 Cloud Services,Microsoft Azure
Virtual Machines,BASIC.A0 VM (Windows),Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,A4 VM (Windows),Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_D12_v2 VM_Promo (Windows),Microsoft Azure
Virtual Machines,Standard_NC24 VM,Microsoft Azure
Virtual Machines,BASIC.A0 VM,Microsoft Azure
Virtual Machines,Standard_D12_v2 VM,Microsoft Azure
Business Analytics,D11 HDInsight,Microsoft Azure
Virtual Machines,Standard_D4_v2 VM_Promo (Windows),Microsoft Azure
Analysis Services,Tabular,Microsoft Azure
Virtual Machines,A5 VM,Microsoft Azure
Data Management,,Microsoft Azure
Data Services,DocumentDB,Microsoft Azure
Virtual Machines,RHEL for SAP Business Applications (24 core),Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Business Analytics,A2 HDInsight,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_D11_v2 VM,Microsoft Azure
Data Services,Azure Database for MySQL,Microsoft Azure
Virtual Machines,Standard_F8 VM,Microsoft Azure
Virtual Machines,A1 VM,Microsoft Azure
Data Management,Locally Redundant,Microsoft Azure
Cloud Services,A3 Cloud Services,Microsoft Azure
Virtual Machines,A5 VM,Microsoft Azure
Data Management,Geo Redundant,Microsoft Azure
Azure App Service,,Microsoft Azure
Data Management,,Microsoft Azure
Cache,Azure Redis Cache,Microsoft Azure
Virtual Machines,Standard_D13_v2 VM_Promo (Windows),Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_A8_v2 VM (Windows),Microsoft Azure
Virtual Machines,Standard_A4_v2 VM (Windows),Microsoft Azure
Virtual Machines,Standard_D4 VM,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Data Services,Azure Database for MySQL,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Cloud Services,A2 Cloud Services,Microsoft Azure
Virtual Machines,A3 VM,Microsoft Azure
Data Management,,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_D2_v2 VM_Promo,Microsoft Azure
Azure App Service,,Microsoft Azure
Networking,Geo Redundant,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Networking,ExpressRoute,Microsoft Azure
Cloud Services,Standard_H16mr Cloud Services,Microsoft Azure
Storage,Read-Access Geo Redundant,Microsoft Azure
Storage,Read-Access Geo Redundant,Microsoft Azure
Storage,Read-Access Geo Redundant,Microsoft Azure
Storage,Read-Access Geo Redundant,Microsoft Azure
Storage,Read-Access Geo Redundant,Microsoft Azure
Storage,Read-Access Geo Redundant,Microsoft Azure
Virtual Machines,Standard_A2_v2 VM (Windows),Microsoft Azure
Virtual Machines,BASIC.A1 VM,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Storage,Geo Redundant,Microsoft Azure
Networking,Basic Application Gateway (Small),Microsoft Azure
Virtual Machines,Standard_A2m_v2 VM (Windows),Microsoft Azure
Cloud Services,Standard_L4 Cloud Services,Microsoft Azure
Cloud Services,Standard_D64_v3 Cloud Services,Microsoft Azure
Virtual Machines,Standard_D12_v2 VM_Promo,Microsoft Azure
Networking,ExpressRoute,Microsoft Azure
Virtual Machines,Standard_D5_v2 VM (Windows),Microsoft Azure
Virtual Machines,A4 VM,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Cloud Services,A3 Cloud Services Low Priority,Microsoft Azure
Virtual Machines,Standard_D5_v2 VM,Microsoft Azure
Networking,ExpressRoute,Microsoft Azure
Virtual Machines,Standard_L4 VM,Microsoft Azure
Virtual Machines,BizTalk Server Standard (20 core),Microsoft Azure
Data Services,Azure Database for Postgres,Microsoft Azure
Virtual Machines,Standard_A1_v2 VM (Windows),Microsoft Azure
Visual Studio,Team Services,Microsoft Azure
Data Management,Read-Access Geo Redundant,Microsoft Azure
Virtual Machines,A1 VM,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Cloud Services,Standard_A4_v2 Cloud Services,Microsoft Azure
Virtual Machines,A7 VM,Microsoft Azure
Virtual Machines,Standard_L16 VM,Microsoft Azure
Data Management,,Microsoft Azure
Data Services,SQL Database,Microsoft Azure
Virtual Machines,Standard_A2m_v2 VM (Windows),Microsoft Azure
