category,name,subcategory
"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 1:Developer & Test Instance for Students",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 2:Standard Acceptance Testing",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 2:Standard Acceptance Testing for Faculty",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 2:Standard Acceptance Testing for Students",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 3:Premier Acceptance Testing",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 3:Premier Acceptance Testing for Faculty",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 3:Premier Acceptance Testing for Students",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 4:Standard Performance Testing",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 4:Standard Performance Testing for Faculty",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 4:Standard Performance Testing for Students",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 5:Premier Performance Testing",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 5:Premier Performance Testing for Faculty",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 5:Premier Performance Testing for Students",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition Device",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition Device add-on for AX Task Device (qualified offer)",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition Device add-on for AX Task Device (qualified offer) for Faculty",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition Device add-on for AX Task Device (qualified offer) for Students",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition Device for Faculty",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition Device for Students",Dynamics 365, 
