category,name,subcategory
Dynamics 365 Ent Edition Cust Eng Plan for CRMOL Basic (Qualified Offer),Dynamics 365, 
Dynamics 365 Ent Edition Cust Eng Plan for CRMOL Basic (Qualified Offer) for Faculty,Dynamics 365, 
Dynamics 365 Ent Edition Cust Eng Plan for CRMOL Basic (Qualified Offer) for Students,Dynamics 365, 
Dynamics 365 Ent Edition Cust Eng Plan for CRMOL Professional (Qualified Offer),Dynamics 365, 
Dynamics 365 Ent Edition Cust Eng Plan for CRMOL Professional (Qualified Offer) for Faculty,Dynamics 365, 
Dynamics 365 Ent Edition Cust Eng Plan for CRMOL Professional (Qualified Offer) for Students,Dynamics 365, 
Dynamics 365 Ent Edition Plan,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Add-On for AX Ent/Functional (Qualified Offer),Dynamics 365, 
Dynamics 365 Ent Edition Plan - Add-On for AX Ent/Functional (Qualified Offer) for Faculty,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Add-On for AX Ent/Functional (Qualified Offer) for Students,Dynamics 365, 
Dynamics 365 Ent Edition Plan - From SA for AX Ent/Functional (Qualified Offer),Dynamics 365, 
Dynamics 365 Ent Edition Plan - From SA for AX Ent/Functional (Qualified Offer) for Faculty,Dynamics 365, 
Dynamics 365 Ent Edition Plan - From SA for AX Ent/Functional (Qualified Offer) for Students,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Addnl Database Storage,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Addnl Database Storage for Faculty,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Addnl Database Storage for Students,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Addnl File Storage,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Addnl File Storage for Faculty,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Addnl File Storage for Students,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 1:Developer & Test Instance,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 1:Developer & Test Instance for Faculty,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 1:Developer & Test Instance for Students,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 2:Standard Acceptance Testing,Dynamics 365, 
Dynamics 365 Ent Edition Plan - Operations Sandbox Tier 2:Standard Acceptance Testing for Faculty,Dynamics 365, 
