Effective Date,Meter Category,Meter Subcategory,Region,Name,Resource ID,Tags,Included Quantities,Minimum Value,AUD,CAD,CHF,DKK,EUR,GBP,INR,JPY,KRW,NOK,NZD,RUB,SEK,TWD,USD
9/1/2017,Storage,Locally Redundant,AU East,Standard IO - Table/ Queue (GB),197eeb00-f40e-4d31-bf6d-8ef8d54ff342,,0,1024,0.0774091175,0.0738963225,0.0548859025,0.382481385,0.0512515575,0.045296154475,4.01699959375,6.19905,72.93,0.4931344275,0.0907431525,3.7984375,0.47837218,1.8856963125,0.060775
9/1/2017,Storage,Locally Redundant,AU East,Standard IO - Table/ Queue (GB),197eeb00-f40e-4d31-bf6d-8ef8d54ff342,,0,51200,0.07145457,0.06821199,0.05066391,0.35305974,0.04730913,0.0418118349,3.707999625,5.7222,67.32,0.45520101,0.08376291,3.50625,0.44157432,1.74064275,0.0561
9/1/2017,Storage,Locally Redundant,AU East,Standard IO - Table/ Queue (GB),197eeb00-f40e-4d31-bf6d-8ef8d54ff342,,0,512000,0.0655000225,0.0625276575,0.0464419175,0.323638095,0.0433667025,0.038327515325,3.39899965625,5.24535,61.71,0.4172675925,0.0767826675,3.2140625,0.40477646,1.5955891875,0.051425
9/1/2017,Storage,Locally Redundant,AU East,Standard IO - Table/ Queue (GB),197eeb00-f40e-4d31-bf6d-8ef8d54ff342,,0,1024000,0.0535909275,0.0511589925,0.0379979325,0.264794805,0.0354818475,0.031358876175,2.78099971875,4.29165,50.49,0.3414007575,0.0628221825,2.6296875,0.33118074,1.3054820625,0.042075
9/1/2017,Storage,Locally Redundant,AU East,Standard IO - Table/ Queue (GB),197eeb00-f40e-4d31-bf6d-8ef8d54ff342,,0,5120000,0.0440636515,0.0420640605,0.0312427445,0.217720173,0.0291739635,0.025783964855,2.28659976875,3.52869,41.514,0.2807072895,0.0516537945,2.1621875,0.272304164,1.0733963625,0.034595
9/1/2017,Virtual Machines,Standard_D4_v2 VM (Windows),US Gov TX,Compute Hours,704cbe43-f11b-4e68-a36e-d24b249c68a2,,0,0,1.330354176,1.269983232,0.943269888,6.573330432,0.880809984,0.77846034432,69.0362112,106.53696,1253.376,8.475015168,1.559513088,65.28,8.221310976,32.4076032,1.04448
9/1/2017,Business Analytics,A3 HDInsight,USGov,Compute Hours,3dd4d373-1dc7-45c9-9d31-f37881f80cbe,,0,0,0.433058,0.413406,0.307054,2.139756,0.286722,0.25340506,22.472725,34.68,408,2.758794,0.507654,21.25,2.676208,10.54935,0.34
9/1/2017,Virtual Machines,A7 VM (Windows),US South Central,Compute Hours,14624711-b4f4-492a-8fe3-3bd06089194e,,0,0,1.299174,1.240218,0.921162,6.419268,0.860166,0.76021518,67.418175,104.04,1224,8.276382,1.522962,63.75,8.028624,31.64805,1.02
9/1/2017,Cloud Services,Standard_D32_v3 Cloud Services,US West 2,Compute Hours,323ca957-eea0-4e0a-9a92-ab9b620eb98c,,0,0,3.32588544,3.17495808,2.35817472,16.43332608,2.20202496,1.9461508608,172.590528,266.3424,3133.44,21.18753792,3.89878272,163.2,20.55327744,81.019008,2.6112
9/1/2017,Virtual Machines,BASIC.A1 VM,UK West,Compute Hours,a81c334b-927e-479e-acec-71b1987439e9,,0,0,0.02814877,0.02687139,0.01995851,0.13908414,0.01863693,0.0164713289,1.460727125,2.2542,26.52,0.17932161,0.03299751,1.38125,0.17395352,0.68570775,0.0221
9/1/2017,Storage,Locally Redundant,EU North,Standard Managed Disk/S10 (Units),35e9e956-bdf2-4654-b803-f1e5dee960a2,,0,0,3.18730688,3.04266816,2.25991744,15.74860416,2.11027392,1.8650612416,165.399256,255.2448,3002.88,20.30472384,3.73633344,156.4,19.69689088,77.643216,2.5024
9/1/2017,Cloud Services,Standard_D14_v2 Cloud Services,US East 2,Compute Hours,c12cae93-ac6a-4295-8c74-88f4342b8e6b,,0,0,2.10466188,2.00915316,1.49228244,10.39921416,1.39346892,1.2315485916,109.2174435,168.5448,1982.88,13.40773884,2.46719844,103.275,13.00637088,51.269841,1.6524
9/1/2017,Virtual Machines,Standard_A4m_v2 VM,CA East,Compute Hours,97059b34-33a0-45f2-977a-2c78608ba3a2,,0,0,0.29231415,0.27904905,0.20726145,1.4443353,0.19353735,0.1710484155,15.169089375,23.409,275.4,1.86218595,0.34266645,14.34375,1.8064404,7.12081125,0.2295
9/1/2017,Virtual Machines,Standard_G4 VM (Windows),CA East,Compute Hours,0d824549-9a8d-4204-a69f-833b9c587181,,0,0,5.81163836,5.54790852,4.12066468,28.71552552,3.84780924,3.4006959052,301.5839695,465.4056,5475.36,37.02301548,6.81271668,285.175,35.91471136,141.572277,4.5628
9/1/2017,Virtual Machines,Standard_A8m_v2 VM,US Gov TX,Compute Hours,55421104-df6f-4257-8bef-b59410691817,,0,0,0.76218208,0.72759456,0.54041504,3.76597056,0.50463072,0.4459929056,39.551996,61.0368,718.08,4.85547744,0.89347104,37.4,4.71012608,18.566856,0.5984
9/1/2017,Storage,Read-Access Geo Redundant,AU East,Standard IO - Files (GB),4035ac14-a53f-4539-bef4-7b0b4b7f553a,,0,0,0.154818235,0.147792645,0.109771805,0.76496277,0.102503115,0.09059230895,8.0339991875,12.3981,145.86,0.986268855,0.181486305,7.596875,0.95674436,3.771392625,0.12155
9/1/2017,Storage,Locally Redundant,AU East,Premium Storage - Page Blob/P50 (Units),dd1e4152-9302-48fe-ac7f-f87b985759bd,,0,0,536.5217272765,512.1745844355,380.4135761195,2650.974199923,355.2239715885,313.947139856105,27841.7792388312,42965.54619,505477.014,3417.9091994145,628.9397746695,26326.9278125,3315.592227164,13069.7400432375,421.230845
9/1/2017,Cloud Services,Standard_D1_v2 Cloud Services,UK South,Compute Hours,243ff232-d876-4ab5-b953-ba59f171ccc8,,0,0,0.176471135,0.168462945,0.125124505,0.87195057,0.116839215,0.10326256195,9.1576354375,14.1321,166.26,1.124208555,0.206869005,8.659375,1.09055476,4.298860125,0.13855
9/1/2017,Virtual Machines,A5 VM,AP East,Compute Hours,e25bb519-8586-4cc6-81f5-ba9256351ded,,0,0,0.31829763,0.30385341,0.22568469,1.57272066,0.21074067,0.1862527191,16.517452875,25.4898,299.88,2.02771359,0.37312569,15.61875,1.96701288,7.75377225,0.2499
9/1/2017,Virtual Machines,BASIC.A4 VM,USGov,Compute Hours,665241a9-7f23-4c04-99fc-541faa97aabb,,0,0,0.3464464,0.3307248,0.2456432,1.7118048,0.2293776,0.202724048,17.97818,27.744,326.4,2.2070352,0.4061232,17,2.1409664,8.43948,0.272
9/1/2017,Storage,Locally Redundant,UK North,Premium Storage - Page Blob/P50 (Units),67e787c1-5ff3-450e-9823-fd7127f6e637,,0,0,779.004526563825,743.653610621775,552.342771405975,3849.09090639615,515.768640379425,455.836605706805,40424.9650144416,62383.9693095,733929.0507,4962.64475857072,913.191221333475,38225.471390625,4814.0852865582,18976.6530171619,611.60754225
9/1/2017,Cloud Services,Standard_H16 Cloud Services,US West,Compute Hours,4ee3e365-90f9-4630-b38f-ed6986135acd,,0,0,3.48395161,3.32585127,2.47024943,17.21433702,2.30667849,2.0386437077,180.793072625,279.0006,3282.36,22.19449773,4.08407643,170.95625,21.53009336,84.86952075,2.7353
9/1/2017,Data Management,,AU Southeast,"Standard IO - Hot Block Blob Write Operations (in 10,000s)",bf20e6b9-2040-493c-aaf3-a61ceb7de3b9,,0,0,0.059545475,0.056843325,0.042219925,0.29421645,0.039424275,0.03484319575,3.0899996875,4.7685,56.1,0.379334175,0.069802425,2.921875,0.3679786,1.450535625,0.04675
9/1/2017,Data Management,Locally Redundant,KR South,Archive Block Blob Early Delete,1f697a2f-864b-4d55-b8c9-3e72e3baf329,,0,0,0.006089878125,0.005813521875,0.004317946875,0.03009031875,0.004032028125,0.00356350865625,0.3160226953125,0.4876875,5.7375,0.038795540625,0.007138884375,0.298828125,0.037634175,0.148350234375,0.00478125
9/1/2017,Storage,Geo Redundant,BR South,Standard IO - Table (GB),7061d805-de24-4d8e-883d-2cd6136fcb1d,,0,0,0.139661205,0.133323435,0.099024915,0.69007131,0.092467845,0.08172313185,7.2474538125,11.1843,131.58,0.889711065,0.163718415,6.853125,0.86307708,3.402165375,0.10965
9/1/2017,Storage,Geo Redundant,BR South,Standard IO - Table (GB),7061d805-de24-4d8e-883d-2cd6136fcb1d,,0,1024,0.118008305,0.112653135,0.083672215,0.58308351,0.078131745,0.06905287885,6.1238175625,9.4503,111.18,0.751771365,0.138335715,5.790625,0.72926668,2.874697875,0.09265
9/1/2017,Storage,Geo Redundant,BR South,Standard IO - Table (GB),7061d805-de24-4d8e-883d-2cd6136fcb1d,,0,51200,0.102851275,0.098183925,0.072925325,0.50819205,0.068096475,0.06018370175,5.3372721875,8.2365,96.9,0.655213575,0.120567825,5.046875,0.6355994,2.505470625,0.08075
9/1/2017,Storage,Geo Redundant,BR South,Standard IO - Table (GB),7061d805-de24-4d8e-883d-2cd6136fcb1d,,0,512000,0.09527276,0.09094932,0.06755188,0.47074632,0.06307884,0.0557491132,4.9439995,7.6296,89.76,0.60693468,0.11168388,4.675,0.58876576,2.320857,0.0748
9/1/2017,Storage,Geo Redundant,BR South,Standard IO - Table (GB),7061d805-de24-4d8e-883d-2cd6136fcb1d,,0,1024000,0.08877689,0.08474823,0.06294607,0.43864998,0.05877801,0.0519480373,4.606908625,7.1094,83.64,0.56555277,0.10406907,4.35625,0.54862264,2.16261675,0.0697
9/1/2017,Storage,Geo Redundant,BR South,Standard IO - Table (GB),7061d805-de24-4d8e-883d-2cd6136fcb1d,,0,5120000,0.08877689,0.08474823,0.06294607,0.43864998,0.05877801,0.0519480373,4.606908625,7.1094,83.64,0.56555277,0.10406907,4.35625,0.54862264,2.16261675,0.0697
